,ID,E_Brent,D_caso,D_tal,C_Gas,C_Perfo,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,LE_year_b,lc_b,dc_b,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
42,42,40,Medio,1,6,950000,-11468.808,24130.0554,12661.2474,0.430033994808785,187400,850236.7315,904996.7461,0.2627027120490787,22.104040284827263,21.841337572778187,2036.0,8.4419,7.6208,112108.8074,122285.8333,28457.0817,289941.0393,14428.0695
43,43,45,Medio,1,6,950000,-10216.422,62864.0548,52647.6329,0.8838034352026651,187400,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,7.4941,114366.0844,122285.8333,45212.732,347628.7093,13116.4268
44,44,50,Medio,1,6,950000,-8964.0359,100745.8889,91781.853,1.326951377656998,187400,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,7.4941,114366.0844,122285.8333,61521.6872,403071.8847,13116.4268
45,45,55,Medio,1,6,950000,-7711.6499,138561.6827,130850.0328,1.7700993201113304,187400,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,7.4941,114366.0844,122285.8333,77896.6827,458515.06,13116.4268
46,46,60,Medio,1,6,950000,-6459.2639,176334.2827,169875.0189,2.213247262565663,187400,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,7.4941,114366.0844,122285.8333,94314.872,513958.2353,13116.4268
47,47,65,Medio,1,6,950000,-5206.8778,214096.6298,208889.7519,2.656395205019996,187400,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,7.4941,114366.0844,122285.8333,110743.3143,569401.4107,13116.4268
48,48,70,Medio,1,6,950000,-3954.4918,252355.9327,248401.441,3.1100587907610278,187400,850236.7315,904996.7461,0.2627027120490787,22.644197797419718,22.381495085370638,2038.0,8.9869,7.4375,116224.9253,122285.8333,127960.7165,626796.9405,11924.0244
49,49,40,Medio,1,6,1000000,-11468.808,19209.9001,7741.0921,0.3609440261800038,197000,850236.7315,904996.7461,0.2627027120490787,22.104040284827263,21.841337572778187,2036.0,8.4419,8.0112,112108.8074,128493.8286,27169.2416,289941.0393,14428.0695
50,50,45,Medio,1,6,1000000,-10216.422,57941.6744,47725.2524,0.7927902585955723,197000,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,7.878,114366.0844,128493.8286,43927.1171,347628.7093,13116.4268
51,51,50,Medio,1,6,1000000,-8964.0359,95823.5085,86859.4725,1.2145281552364315,197000,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,7.878,114366.0844,128493.8286,60236.0723,403071.8847,13116.4268
52,52,55,Medio,1,6,1000000,-7711.6499,133640.3726,125928.7227,1.63626605187729,197000,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,7.878,114366.0844,128493.8286,76609.9975,458515.06,13116.4268
53,53,60,Medio,1,6,1000000,-6459.2639,171412.9726,164953.7087,2.058003948518149,197000,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,7.878,114366.0844,128493.8286,93028.1868,513958.2353,13116.4268
54,54,65,Medio,1,6,1000000,-5206.8778,209175.3196,203968.4418,2.479741845159008,197000,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,7.878,114366.0844,128493.8286,109456.629,569401.4107,13116.4268
