,ID,E_Brent,D_caso,D_tal,C_Gas,C_Perfo,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,LE_year_b,lc_b,dc_b,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
73,73,55,Medio,1,7,750000,-5222.6759,155374.296,150151.6201,2.4422186254774694,149000,850639.571,908075.7393,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.8185,5.9585,115779.7621,97453.8517,82629.6779,458515.06,12500.1481
74,74,60,Medio,1,7,750000,-3970.2899,193146.896,189176.6062,2.9982839413287485,149000,850639.571,908075.7393,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.8185,5.9585,115779.7621,97453.8517,99047.8672,513958.2353,12500.1481
75,75,65,Medio,1,7,750000,-2717.9038,230913.6882,228195.7844,3.5543492571800277,149000,850639.571,908075.7393,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.8185,5.9585,115779.7621,97453.8517,115471.8643,569401.4107,12500.1481
76,76,70,Medio,1,7,750000,-1465.5178,269111.5713,267646.0536,4.1229917769292594,149000,850639.571,908075.7393,0.2627027120490787,22.644197797419718,22.381495085370638,2038.0,9.1083,5.9135,117642.7949,97453.8517,132690.4693,626796.9405,11363.771
77,77,40,Medio,1,7,800000,-8979.834,36082.4694,27102.6353,0.6560017786175909,158600,850639.571,908075.7393,0.2627027120490787,22.104040284827263,21.841337572778187,2036.0,8.5626,6.4496,113506.4069,103661.8471,31919.987,289941.0393,13750.163
78,78,45,Medio,1,7,800000,-7727.448,74754.189,67026.7411,1.1905461977979064,158600,850639.571,908075.7393,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.8185,6.3424,115779.7621,103661.8471,48660.2109,347628.7093,12500.1481
79,79,50,Medio,1,7,800000,-6475.0619,112636.0231,106160.9612,1.7133104633047507,158600,850639.571,908075.7393,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.8185,6.3424,115779.7621,103661.8471,64969.1661,403071.8847,12500.1481
80,80,55,Medio,1,7,800000,-5222.6759,150452.9859,145230.31,2.236074728811596,158600,850639.571,908075.7393,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.8185,6.3424,115779.7621,103661.8471,81342.9926,458515.06,12500.1481
81,81,60,Medio,1,7,800000,-3970.2899,188225.5859,184255.296,2.758838994318441,158600,850639.571,908075.7393,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.8185,6.3424,115779.7621,103661.8471,97761.1819,513958.2353,12500.1481
82,82,65,Medio,1,7,800000,-2717.9038,225992.3781,223274.4743,3.2816032598252853,158600,850639.571,908075.7393,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.8185,6.3424,115779.7621,103661.8471,114185.179,569401.4107,12500.1481
83,83,70,Medio,1,7,800000,-1465.5178,264191.7678,262726.25,3.816191518971758,158600,850639.571,908075.7393,0.2627027120490787,22.644197797419718,22.381495085370638,2038.0,9.1083,6.2945,117642.7949,103661.8471,131402.2775,626796.9405,11363.771
84,84,40,Medio,1,7,850000,-8979.834,31162.314,22182.48,0.5624325201223542,168200,850639.571,908075.7393,0.2627027120490787,22.104040284827263,21.841337572778187,2036.0,8.5626,6.84,113506.4069,109869.8425,30632.147,289941.0393,13750.163
